data_execucao,metodo,changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,MSE,RMSE,MAE,MAPE,MDAPE,SMAPE,tempo_execucao
2026-07-07 23:52:04,Holdout,0.01,additive,0.1,160088.3097957485,400.1103720172079,314.1515949053874,0.06633252120786817,0.052108881712185674,0.3248786125909617,1.81
2026-07-07 23:52:05,Holdout,0.01,additive,1.0,166214.6112829751,407.6942620187033,321.6122641379386,0.0675871902470268,0.05244438956740725,0.3262076985734607,0.43
2026-07-07 23:52:06,Holdout,0.01,additive,10.0,166341.02712254706,407.8492701017706,321.15531667033883,0.06739548496892767,0.0521717205351036,0.3260637825809926,0.48
2026-07-07 23:52:07,Holdout,0.01,multiplicative,0.1,138198.9622825278,371.75121019645354,276.8463812741366,0.06466025483603605,0.04308467464281267,0.32335466858614875,0.51
2026-07-07 23:52:08,Holdout,0.01,multiplicative,1.0,139812.06025311782,373.91450928403117,279.91373153304596,0.06530630289645556,0.04385328879444407,0.3239571658361756,0.4
2026-07-07 23:52:09,Holdout,0.01,multiplicative,10.0,136748.0246458719,369.79457087127696,277.00409352064577,0.06424321477806262,0.04430673868766821,0.32297018500654523,0.37
2026-07-07 23:52:10,Holdout,0.1,additive,0.1,141378.6216934597,376.0034862783319,293.2852956620999,0.06412458108429607,0.055674837617239015,0.3219660750448455,0.43
2026-07-07 23:52:11,Holdout,0.1,additive,1.0,141457.72512298822,376.1086613240756,293.3098414039334,0.06412720955326805,0.05567752897362556,0.3219615651885797,0.46
2026-07-07 23:52:12,Holdout,0.1,additive,10.0,141573.7984488005,376.26293791549614,293.4585017465125,0.06412726330179767,0.055618425184281124,0.32197422218243166,0.46
2026-07-07 23:52:13,Holdout,0.1,multiplicative,0.1,142077.4033479308,376.9315632153015,274.9755541976861,0.06589367474338054,0.043974013662771774,0.3247648535159898,0.45
2026-07-07 23:52:14,Holdout,0.1,multiplicative,1.0,141850.2274805612,376.63009370012,275.59941019067105,0.06592099009606105,0.04367148952094075,0.3247525828401688,0.45
2026-07-07 23:52:14,Holdout,0.1,multiplicative,10.0,139510.019791159,373.5104011820273,273.06607399079775,0.065375771071499,0.04154027763224903,0.324154456564468,0.46
2026-07-07 23:52:15,Holdout,0.5,additive,0.1,142792.59438895204,377.8790737642825,294.3865084939605,0.06390584291485787,0.054657836523653476,0.32190436691424235,0.45
2026-07-07 23:52:16,Holdout,0.5,additive,1.0,142058.5107094468,376.9065012830726,293.7195964256973,0.06394718579712973,0.05519418126637407,0.3218874346434685,0.56
2026-07-07 23:52:17,Holdout,0.5,additive,10.0,142473.51407853054,377.4566386732793,294.0963775656731,0.06393102656683393,0.0549213056101399,0.32190255880014096,0.67
2026-07-07 23:52:19,Holdout,0.5,multiplicative,0.1,157893.22766273422,397.3578081059113,281.8818840391553,0.0683691941247888,0.04880890230313907,0.32751382417852487,0.5
2026-07-07 23:52:20,Holdout,0.5,multiplicative,1.0,152682.74963804183,390.7464006718959,278.39447468452454,0.0671546081141372,0.0441914865251616,0.3262377671238992,0.7
2026-07-07 23:52:21,Holdout,0.5,multiplicative,10.0,150667.40968720394,388.1590005232443,276.95736972021683,0.06655330933079771,0.04231179946996526,0.3256208955709713,0.83
2026-07-08 00:03:53,Validacao Cruzada,0.01,additive,0.1,714.225906379941,542.5039246535308,,0.125095715195766,0.757516339869281,18.17
2026-07-08 00:04:04,Validacao Cruzada,0.01,additive,1.0,708.7204061422693,537.2273145289275,,0.12345607048364939,0.765359477124183,10.44
2026-07-08 00:04:17,Validacao Cruzada,0.01,additive,10.0,708.2057329100064,536.4786404346888,,0.12385328263997974,0.7562091503267974,12.69
2026-07-08 00:04:38,Validacao Cruzada,0.01,multiplicative,0.1,713.6185160993564,526.2893972690229,,0.12686768234849305,0.7588235294117647,20.24
2026-07-08 00:04:51,Validacao Cruzada,0.01,multiplicative,1.0,717.1238012910907,530.0064956869154,,0.12652688369925197,0.7588235294117647,11.94
2026-07-08 00:05:02,Validacao Cruzada,0.01,multiplicative,10.0,707.7006052258153,521.0177049283233,,0.1247361752090567,0.7666666666666667,10.59
2026-07-08 00:05:13,Validacao Cruzada,0.1,additive,0.1,726.6450577147951,552.8621876044812,,0.13455234241344138,0.7366013071895425,11.1
2026-07-08 00:05:26,Validacao Cruzada,0.1,additive,1.0,732.6808952493905,556.6196734885486,,0.1342632973644753,0.7294117647058823,11.86
2026-07-08 00:05:37,Validacao Cruzada,0.1,additive,10.0,730.2732473446729,555.6873962137279,,0.1334916695787222,0.7333333333333333,11.34
2026-07-08 00:05:50,Validacao Cruzada,0.1,multiplicative,0.1,858.044923208325,624.8887390240882,,0.1521199043025738,0.6947712418300653,12.33
2026-07-08 00:06:03,Validacao Cruzada,0.1,multiplicative,1.0,856.4422934756063,624.6848531014188,,0.1524820708028951,0.6928104575163399,12.0
2026-07-08 00:06:15,Validacao Cruzada,0.1,multiplicative,10.0,855.7749035401637,625.0332574185239,,0.15200139055216277,0.6928104575163399,12.25
2026-07-08 00:06:31,Validacao Cruzada,0.5,additive,0.1,829.3295524940582,642.1207738755187,,0.151847673395902,0.673202614379085,15.04
2026-07-08 00:06:46,Validacao Cruzada,0.5,additive,1.0,832.1459823395024,645.8600112663459,,0.15039753517218535,0.6784313725490196,14.59
2026-07-08 00:06:58,Validacao Cruzada,0.5,additive,10.0,834.2880895418033,647.1558269066411,,0.15136535005792437,0.673202614379085,11.48
2026-07-08 00:07:13,Validacao Cruzada,0.5,multiplicative,0.1,1054.9279976841262,762.5330299247609,,0.19370977486377888,0.6196078431372549,14.34
2026-07-08 00:07:27,Validacao Cruzada,0.5,multiplicative,1.0,1066.828704679944,768.8256185390406,,0.19294538794470303,0.6254901960784314,13.64
2026-07-08 00:07:42,Validacao Cruzada,0.5,multiplicative,10.0,1063.62444338584,766.3332933885526,,0.1925034579680419,0.6392156862745098,14.46
